000.000 =============================================================
000.000                     Station A                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "datalink-A.log", TCP port 59144, debug mask 0x00
000.000 Station A is waiting for station B on TCP port 59144 ... Done.
000.257 New epoch: Sat May 21 00:06:31 2022
000.258 =================================================================
000.258 
000.258 Designed by Chen Yu, build: May 20 2022  17:46:38
002.922 .... 4 packets received, 3415 bps, 42.68%, Err 1 (4.7e-05)
005.041 .... 16 packets received, 7253 bps, 90.66%, Err 1 (2.6e-05)
007.163 .... 24 packets received, 7402 bps, 92.53%, Err 1 (1.8e-05)
009.275 .... 32 packets received, 7488 bps, 93.60%, Err 1 (1.4e-05)
011.385 .... 40 packets received, 7542 bps, 94.27%, Err 1 (1.1e-05)
013.511 .... 48 packets received, 7569 bps, 94.61%, Err 1 (9.5e-06)
015.619 .... 56 packets received, 7597 bps, 94.97%, Err 1 (8.2e-06)
017.728 .... 64 packets received, 7618 bps, 95.23%, Err 1 (7.2e-06)
019.829 .... 72 packets received, 7638 bps, 95.47%, Err 1 (6.4e-06)
021.960 .... 80 packets received, 7643 bps, 95.54%, Err 1 (5.8e-06)
024.072 .... 88 packets received, 7653 bps, 95.66%, Err 1 (5.3e-06)
026.197 .... 96 packets received, 7658 bps, 95.72%, Err 1 (4.8e-06)
028.297 .... 104 packets received, 7669 bps, 95.86%, Err 1 (4.5e-06)
030.431 .... 112 packets received, 7669 bps, 95.87%, Err 1 (4.1e-06)
033.606 .... 119 packets received, 7367 bps, 92.08%, Err 3 (1.1e-05)
035.691 .... 130 packets received, 7571 bps, 94.63%, Err 3 (1.1e-05)
037.821 .... 138 packets received, 7577 bps, 94.72%, Err 3 (1.0e-05)
040.180 .... 142 packets received, 7333 bps, 91.67%, Err 4 (1.3e-05)
042.306 .... 154 packets received, 7548 bps, 94.35%, Err 4 (1.2e-05)
044.382 .... 162 packets received, 7565 bps, 94.56%, Err 4 (1.1e-05)
046.504 .... 170 packets received, 7572 bps, 94.65%, Err 4 (1.1e-05)
048.616 .... 178 packets received, 7580 bps, 94.75%, Err 4 (1.0e-05)
050.720 .... 186 packets received, 7589 bps, 94.86%, Err 4 (9.9e-06)
053.669 .... 192 packets received, 7399 bps, 92.48%, Err 5 (1.2e-05)
055.765 .... 204 packets received, 7563 bps, 94.54%, Err 5 (1.1e-05)
057.894 .... 212 packets received, 7568 bps, 94.60%, Err 5 (1.1e-05)
060.014 .... 220 packets received, 7574 bps, 94.67%, Err 6 (1.3e-05)
062.084 .... 228 packets received, 7585 bps, 94.81%, Err 6 (1.2e-05)
064.226 .... 236 packets received, 7587 bps, 94.84%, Err 6 (1.2e-05)
066.355 .... 244 packets received, 7591 bps, 94.88%, Err 6 (1.1e-05)
068.484 .... 252 packets received, 7594 bps, 94.93%, Err 6 (1.1e-05)
070.530 .... 260 packets received, 7606 bps, 95.08%, Err 6 (1.1e-05)
072.683 .... 268 packets received, 7606 bps, 95.08%, Err 7 (1.2e-05)
074.794 .... 276 packets received, 7611 bps, 95.13%, Err 7 (1.2e-05)
076.895 .... 283 packets received, 7589 bps, 94.86%, Err 8 (1.3e-05)
079.009 .... 291 packets received, 7593 bps, 94.92%, Err 8 (1.3e-05)
081.130 .... 299 packets received, 7597 bps, 94.96%, Err 8 (1.2e-05)
083.225 .... 307 packets received, 7602 bps, 95.03%, Err 8 (1.2e-05)
085.355 .... 315 packets received, 7605 bps, 95.06%, Err 8 (1.2e-05)
087.446 .... 323 packets received, 7610 bps, 95.13%, Err 8 (1.1e-05)
089.569 .... 331 packets received, 7613 bps, 95.16%, Err 8 (1.1e-05)
091.682 .... 339 packets received, 7616 bps, 95.20%, Err 8 (1.1e-05)
093.807 .... 347 packets received, 7618 bps, 95.23%, Err 8 (1.1e-05)
095.921 .... 355 packets received, 7621 bps, 95.26%, Err 8 (1.0e-05)
098.029 .... 363 packets received, 7624 bps, 95.30%, Err 8 (1.0e-05)
100.142 .... 371 packets received, 7627 bps, 95.34%, Err 8 (1.0e-05)
102.273 .... 379 packets received, 7628 bps, 95.36%, Err 8 (9.8e-06)
104.412 .... 387 packets received, 7629 bps, 95.36%, Err 8 (9.6e-06)
106.506 .... 395 packets received, 7633 bps, 95.41%, Err 8 (9.4e-06)
108.630 .... 403 packets received, 7635 bps, 95.43%, Err 8 (9.2e-06)
110.990 .... 408 packets received, 7564 bps, 94.55%, Err 9 (1.0e-05)
113.086 .... 419 packets received, 7623 bps, 95.29%, Err 9 (1.0e-05)
115.209 .... 427 packets received, 7625 bps, 95.31%, Err 10 (1.1e-05)
117.362 .... 435 packets received, 7625 bps, 95.31%, Err 10 (1.1e-05)
119.461 .... 443 packets received, 7628 bps, 95.35%, Err 10 (1.0e-05)
121.533 .... 451 packets received, 7633 bps, 95.41%, Err 10 (1.0e-05)
123.643 .... 459 packets received, 7635 bps, 95.44%, Err 10 (1.0e-05)
125.777 .... 467 packets received, 7636 bps, 95.45%, Err 10 (1.0e-05)
127.870 .... 475 packets received, 7639 bps, 95.49%, Err 10 (9.8e-06)
130.017 .... 483 packets received, 7639 bps, 95.49%, Err 10 (9.6e-06)
132.102 .... 491 packets received, 7642 bps, 95.53%, Err 10 (9.5e-06)
134.224 .... 499 packets received, 7644 bps, 95.54%, Err 10 (9.3e-06)
136.321 .... 507 packets received, 7646 bps, 95.58%, Err 10 (9.2e-06)
138.428 .... 515 packets received, 7648 bps, 95.60%, Err 11 (1.0e-05)
140.535 .... 523 packets received, 7650 bps, 95.63%, Err 11 (9.8e-06)
142.678 .... 531 packets received, 7650 bps, 95.63%, Err 11 (9.7e-06)
144.758 .... 539 packets received, 7653 bps, 95.67%, Err 11 (9.5e-06)
147.405 .... 544 packets received, 7585 bps, 94.81%, Err 12 (1.0e-05)
149.544 .... 556 packets received, 7641 bps, 95.51%, Err 12 (1.0e-05)
151.685 .... 564 packets received, 7641 bps, 95.52%, Err 12 (9.9e-06)
153.741 .... 572 packets received, 7646 bps, 95.57%, Err 12 (9.8e-06)
155.855 .... 580 packets received, 7647 bps, 95.59%, Err 12 (9.6e-06)
157.964 .... 588 packets received, 7649 bps, 95.61%, Err 12 (9.5e-06)
160.114 .... 596 packets received, 7648 bps, 95.60%, Err 12 (9.4e-06)
162.199 .... 604 packets received, 7651 bps, 95.64%, Err 12 (9.3e-06)
164.305 .... 612 packets received, 7653 bps, 95.66%, Err 12 (9.1e-06)
166.475 .... 620 packets received, 7651 bps, 95.64%, Err 12 (9.0e-06)
168.567 .... 628 packets received, 7654 bps, 95.67%, Err 12 (8.9e-06)
170.679 .... 636 packets received, 7655 bps, 95.69%, Err 12 (8.8e-06)
172.789 .... 644 packets received, 7656 bps, 95.70%, Err 12 (8.7e-06)
175.692 .... 650 packets received, 7600 bps, 94.99%, Err 14 (1.0e-05)
177.821 .... 662 packets received, 7647 bps, 95.59%, Err 14 (9.9e-06)
179.908 .... 670 packets received, 7649 bps, 95.62%, Err 14 (9.7e-06)
182.017 .... 678 packets received, 7651 bps, 95.63%, Err 14 (9.6e-06)
184.138 .... 686 packets received, 7652 bps, 95.64%, Err 14 (9.5e-06)
186.238 .... 694 packets received, 7653 bps, 95.66%, Err 14 (9.4e-06)
188.623 .... 698 packets received, 7600 bps, 95.00%, Err 15 (1.0e-05)
191.796 .... 709 packets received, 7591 bps, 94.89%, Err 17 (1.1e-05)
193.889 .... 721 packets received, 7636 bps, 95.45%, Err 17 (1.1e-05)
196.023 .... 729 packets received, 7637 bps, 95.46%, Err 17 (1.1e-05)
198.152 .... 737 packets received, 7637 bps, 95.47%, Err 17 (1.1e-05)
200.263 .... 745 packets received, 7639 bps, 95.48%, Err 17 (1.1e-05)
202.346 .... 753 packets received, 7641 bps, 95.51%, Err 17 (1.1e-05)
204.518 .... 761 packets received, 7640 bps, 95.50%, Err 17 (1.0e-05)
206.625 .... 769 packets received, 7641 bps, 95.52%, Err 17 (1.0e-05)
208.728 .... 777 packets received, 7643 bps, 95.54%, Err 17 (1.0e-05)
211.627 .... 783 packets received, 7596 bps, 94.95%, Err 18 (1.1e-05)
213.749 .... 795 packets received, 7636 bps, 95.45%, Err 18 (1.1e-05)
215.846 .... 803 packets received, 7638 bps, 95.47%, Err 18 (1.0e-05)
218.781 .... 809 packets received, 7591 bps, 94.89%, Err 19 (1.1e-05)
220.842 .... 821 packets received, 7632 bps, 95.40%, Err 19 (1.1e-05)
222.965 .... 829 packets received, 7633 bps, 95.41%, Err 19 (1.1e-05)
225.060 .... 837 packets received, 7634 bps, 95.43%, Err 19 (1.1e-05)
227.191 .... 845 packets received, 7635 bps, 95.43%, Err 19 (1.0e-05)
229.302 .... 853 packets received, 7636 bps, 95.45%, Err 19 (1.0e-05)
231.431 .... 861 packets received, 7636 bps, 95.46%, Err 19 (1.0e-05)
234.370 .... 867 packets received, 7593 bps, 94.91%, Err 22 (1.2e-05)
236.478 .... 877 packets received, 7612 bps, 95.15%, Err 22 (1.2e-05)
238.553 .... 885 packets received, 7615 bps, 95.18%, Err 22 (1.2e-05)
240.667 .... 893 packets received, 7616 bps, 95.20%, Err 22 (1.1e-05)
242.793 .... 896 packets received, 7574 bps, 94.68%, Err 24 (1.2e-05)
244.911 .... 907 packets received, 7601 bps, 95.01%, Err 25 (1.3e-05)
247.024 .... 915 packets received, 7602 bps, 95.03%, Err 25 (1.3e-05)
249.105 .... 923 packets received, 7604 bps, 95.05%, Err 25 (1.3e-05)
251.232 .... 931 packets received, 7605 bps, 95.06%, Err 25 (1.2e-05)
253.345 .... 939 packets received, 7606 bps, 95.08%, Err 25 (1.2e-05)
255.481 .... 947 packets received, 7607 bps, 95.09%, Err 25 (1.2e-05)
257.593 .... 955 packets received, 7608 bps, 95.10%, Err 25 (1.2e-05)
259.716 .... 963 packets received, 7609 bps, 95.11%, Err 25 (1.2e-05)
261.810 .... 971 packets received, 7611 bps, 95.14%, Err 25 (1.2e-05)
263.912 .... 979 packets received, 7612 bps, 95.15%, Err 25 (1.2e-05)
266.048 .... 987 packets received, 7613 bps, 95.16%, Err 25 (1.2e-05)
268.141 .... 995 packets received, 7614 bps, 95.18%, Err 25 (1.2e-05)
270.233 .... 1003 packets received, 7616 bps, 95.20%, Err 25 (1.2e-05)
272.397 .... 1011 packets received, 7616 bps, 95.20%, Err 25 (1.1e-05)
274.479 .... 1019 packets received, 7618 bps, 95.22%, Err 25 (1.1e-05)
276.599 .... 1026 packets received, 7611 bps, 95.14%, Err 26 (1.2e-05)
278.714 .... 1034 packets received, 7612 bps, 95.15%, Err 26 (1.2e-05)
280.851 .... 1042 packets received, 7613 bps, 95.16%, Err 26 (1.2e-05)
282.917 .... 1050 packets received, 7615 bps, 95.19%, Err 26 (1.2e-05)
285.035 .... 1058 packets received, 7616 bps, 95.20%, Err 26 (1.1e-05)
287.164 .... 1066 packets received, 7616 bps, 95.20%, Err 26 (1.1e-05)
289.305 .... 1074 packets received, 7617 bps, 95.21%, Err 26 (1.1e-05)
292.452 .... 1081 packets received, 7584 bps, 94.80%, Err 27 (1.2e-05)
294.579 .... 1093 packets received, 7612 bps, 95.15%, Err 27 (1.1e-05)
296.671 .... 1101 packets received, 7614 bps, 95.17%, Err 27 (1.1e-05)
298.785 .... 1109 packets received, 7615 bps, 95.19%, Err 27 (1.1e-05)
301.670 .... 1115 packets received, 7583 bps, 94.78%, Err 28 (1.2e-05)
303.827 .... 1127 packets received, 7610 bps, 95.12%, Err 28 (1.2e-05)
305.933 .... 1135 packets received, 7611 bps, 95.14%, Err 28 (1.1e-05)
308.054 .... 1143 packets received, 7612 bps, 95.15%, Err 28 (1.1e-05)
310.139 .... 1151 packets received, 7613 bps, 95.17%, Err 29 (1.2e-05)
312.263 .... 1159 packets received, 7614 bps, 95.18%, Err 29 (1.2e-05)
314.377 .... 1167 packets received, 7615 bps, 95.19%, Err 29 (1.2e-05)
316.492 .... 1175 packets received, 7616 bps, 95.20%, Err 29 (1.1e-05)
318.620 .... 1183 packets received, 7616 bps, 95.21%, Err 29 (1.1e-05)
320.716 .... 1191 packets received, 7618 bps, 95.22%, Err 29 (1.1e-05)
322.824 .... 1199 packets received, 7619 bps, 95.24%, Err 29 (1.1e-05)
324.931 .... 1207 packets received, 7620 bps, 95.25%, Err 29 (1.1e-05)
327.039 .... 1215 packets received, 7621 bps, 95.26%, Err 29 (1.1e-05)
329.171 .... 1223 packets received, 7621 bps, 95.27%, Err 29 (1.1e-05)
331.272 .... 1231 packets received, 7622 bps, 95.28%, Err 29 (1.1e-05)
333.388 .... 1239 packets received, 7623 bps, 95.29%, Err 29 (1.1e-05)
335.531 .... 1247 packets received, 7623 bps, 95.29%, Err 29 (1.1e-05)
337.626 .... 1255 packets received, 7624 bps, 95.31%, Err 29 (1.1e-05)
339.738 .... 1263 packets received, 7625 bps, 95.32%, Err 29 (1.1e-05)
341.831 .... 1271 packets received, 7627 bps, 95.33%, Err 29 (1.1e-05)
343.978 .... 1279 packets received, 7627 bps, 95.33%, Err 29 (1.1e-05)
346.082 .... 1287 packets received, 7628 bps, 95.34%, Err 29 (1.0e-05)
348.189 .... 1295 packets received, 7628 bps, 95.36%, Err 29 (1.0e-05)
350.301 .... 1303 packets received, 7629 bps, 95.37%, Err 29 (1.0e-05)
352.421 .... 1311 packets received, 7630 bps, 95.37%, Err 29 (1.0e-05)
355.058 .... 1316 packets received, 7602 bps, 95.02%, Err 30 (1.1e-05)
357.178 .... 1328 packets received, 7626 bps, 95.32%, Err 30 (1.1e-05)
359.274 .... 1336 packets received, 7627 bps, 95.34%, Err 30 (1.0e-05)
361.411 .... 1344 packets received, 7627 bps, 95.34%, Err 30 (1.0e-05)
363.520 .... 1352 packets received, 7628 bps, 95.35%, Err 30 (1.0e-05)
365.606 .... 1360 packets received, 7629 bps, 95.36%, Err 30 (1.0e-05)
367.750 .... 1368 packets received, 7629 bps, 95.37%, Err 30 (1.0e-05)
369.849 .... 1376 packets received, 7630 bps, 95.38%, Err 30 (1.0e-05)
371.950 .... 1384 packets received, 7631 bps, 95.39%, Err 30 (1.0e-05)
374.099 .... 1392 packets received, 7631 bps, 95.39%, Err 30 (1.0e-05)
376.179 .... 1400 packets received, 7633 bps, 95.41%, Err 30 (1.0e-05)
378.321 .... 1408 packets received, 7633 bps, 95.41%, Err 30 (9.9e-06)
380.459 .... 1416 packets received, 7633 bps, 95.41%, Err 30 (9.9e-06)
382.548 .... 1424 packets received, 7634 bps, 95.42%, Err 31 (1.0e-05)
384.629 .... 1432 packets received, 7635 bps, 95.44%, Err 31 (1.0e-05)
386.762 .... 1440 packets received, 7635 bps, 95.44%, Err 31 (1.0e-05)
388.894 .... 1448 packets received, 7636 bps, 95.45%, Err 31 (1.0e-05)
391.008 .... 1456 packets received, 7636 bps, 95.45%, Err 31 (9.9e-06)
393.112 .... 1464 packets received, 7637 bps, 95.46%, Err 31 (9.9e-06)
395.199 .... 1472 packets received, 7638 bps, 95.48%, Err 31 (9.8e-06)
397.376 .... 1480 packets received, 7638 bps, 95.47%, Err 31 (9.8e-06)
399.480 .... 1488 packets received, 7638 bps, 95.48%, Err 31 (9.7e-06)
401.574 .... 1496 packets received, 7639 bps, 95.49%, Err 31 (9.7e-06)
403.662 .... 1504 packets received, 7641 bps, 95.51%, Err 31 (9.6e-06)
405.775 .... 1512 packets received, 7641 bps, 95.51%, Err 31 (9.6e-06)
407.926 .... 1520 packets received, 7641 bps, 95.51%, Err 31 (9.5e-06)
410.018 .... 1528 packets received, 7642 bps, 95.52%, Err 31 (9.5e-06)
412.143 .... 1536 packets received, 7642 bps, 95.53%, Err 31 (9.4e-06)
414.236 .... 1544 packets received, 7643 bps, 95.54%, Err 31 (9.4e-06)
416.345 .... 1551 packets received, 7639 bps, 95.49%, Err 32 (9.6e-06)
418.451 .... 1559 packets received, 7640 bps, 95.50%, Err 32 (9.6e-06)
420.565 .... 1567 packets received, 7640 bps, 95.50%, Err 32 (9.5e-06)
422.694 .... 1575 packets received, 7641 bps, 95.51%, Err 32 (9.5e-06)
424.820 .... 1583 packets received, 7641 bps, 95.51%, Err 32 (9.4e-06)
426.929 .... 1591 packets received, 7641 bps, 95.52%, Err 32 (9.4e-06)
429.050 .... 1599 packets received, 7642 bps, 95.52%, Err 32 (9.3e-06)
431.168 .... 1607 packets received, 7642 bps, 95.53%, Err 32 (9.3e-06)
434.031 .... 1614 packets received, 7625 bps, 95.31%, Err 33 (9.5e-06)
436.160 .... 1625 packets received, 7639 bps, 95.49%, Err 33 (9.5e-06)
